subject,predicate,object,metadata
Minor Planet Center,published citation,on 25 September 2018,"The official naming citation was published by Minor Planet Center on 25 September 2018 ( ) . Senec , Slovakia Senec is town in Bratislava Region of south-western Slovakia . It is well known summer tourism recreation center . The town is attractive not only because of proximity of Bratislava , capital of Slovakia , also because of healthy environment summer resort Slnen jazer ( Sunny Lakes ) . The name comes from Slavic appellative seno hay ( inhabitants dealt with cattle trade , see also Senica , Senn , Vek Krt District or Senn , Michalovce Strne ( Slovakia ) Strne ( ) is village located in Trebiov District Koice Region in Slovakia - some 353 km east of Bratislava , countrys capital . Formerly part of Hungary , there are more ethnic Hungarians located in Strne than Slovakians despite it being Slovakian territory - 596 Hungarians to 51 Slovakians - being part of many Hungarian settlements in Slovakia on border . Its Hungarian name rs comes from Hungarian name rs although historical documents show name to be rs Located in village there is reformed church . First recorded around 1700 as wooden only Slovak club that has won match at group stage ."
Senec,is town in,Bratislava Region,"Senec is town in Bratislava Region of south-western Slovakia . It is well known summer tourism recreation center . The town is attractive not only because of proximity of Bratislava , capital of Slovakia , also because of healthy environment summer resort Slnen jazer ( Sunny Lakes ) . The name comes from Slavic appellative seno hay ( inhabitants dealt with cattle trade , see also Senica , Senn , Vek Krt District or Senn , Michalovce Strne ( Slovakia ) Strne ( ) is village located in Trebiov District Koice Region in Slovakia - some 353 km east of Bratislava , countrys capital . Formerly part of Hungary , there are more ethnic Hungarians located in Strne than Slovakians despite it being Slovakian territory - 596 Hungarians to 51 Slovakians - being part of many Hungarian settlements in Slovakia on border . Its Hungarian name rs comes from Hungarian name rs although historical documents show name to be rs Located in village there is reformed church . First recorded around 1700 as wooden only Slovak club that has won match at group stage ."
Senec,is town in,Bratislava Region,"Senec is town in Bratislava Region of south-western Slovakia . It is well known summer tourism recreation center . The town is attractive not only because of proximity of Bratislava , capital of Slovakia , also because of healthy environment summer resort Slnen jazer ( Sunny Lakes ) . The name comes from Slavic appellative seno hay ( inhabitants dealt with cattle trade , see also Senica , Senn , Vek Krt District or Senn , Michalovce Strne ( Slovakia ) Strne ( ) is village located in Trebiov District Koice Region in Slovakia - some 353 km east of Bratislava , countrys capital . Formerly part of Hungary , there are more ethnic Hungarians located in Strne than Slovakians despite it being Slovakian territory - 596 Hungarians to 51 Slovakians - being part of many Hungarian settlements in Slovakia on border . Its Hungarian name rs comes from Hungarian name rs although historical documents show name to be rs Located in village there is reformed church . First recorded around 1700 as wooden only Slovak club that has won match at group stage ."
Senec,is town in,Bratislava Region,"Senec is town in Bratislava Region of south-western Slovakia . It is well known summer tourism recreation center . The town is attractive not only because of proximity of Bratislava , capital of Slovakia , also because of healthy environment summer resort Slnen jazer ( Sunny Lakes ) . The name comes from Slavic appellative seno hay ( inhabitants dealt with cattle trade , see also Senica , Senn , Vek Krt District or Senn , Michalovce Strne ( Slovakia ) Strne ( ) is village located in Trebiov District Koice Region in Slovakia - some 353 km east of Bratislava , countrys capital . Formerly part of Hungary , there are more ethnic Hungarians located in Strne than Slovakians despite it being Slovakian territory - 596 Hungarians to 51 Slovakians - being part of many Hungarian settlements in Slovakia on border . Its Hungarian name rs comes from Hungarian name rs although historical documents show name to be rs Located in village there is reformed church . First recorded around 1700 as wooden only Slovak club that has won match at group stage ."
Senec,is town in,Bratislava Region,"Senec is town in Bratislava Region of south-western Slovakia . It is well known summer tourism recreation center . The town is attractive not only because of proximity of Bratislava , capital of Slovakia , also because of healthy environment summer resort Slnen jazer ( Sunny Lakes ) . The name comes from Slavic appellative seno hay ( inhabitants dealt with cattle trade , see also Senica , Senn , Vek Krt District or Senn , Michalovce Strne ( Slovakia ) Strne ( ) is village located in Trebiov District Koice Region in Slovakia - some 353 km east of Bratislava , countrys capital . Formerly part of Hungary , there are more ethnic Hungarians located in Strne than Slovakians despite it being Slovakian territory - 596 Hungarians to 51 Slovakians - being part of many Hungarian settlements in Slovakia on border . Its Hungarian name rs comes from Hungarian name rs although historical documents show name to be rs Located in village there is reformed church . First recorded around 1700 as wooden only Slovak club that has won match at group stage ."
Senec,is town in,Bratislava Region,"Senec is town in Bratislava Region of south-western Slovakia . It is well known summer tourism recreation center . The town is attractive not only because of proximity of Bratislava , capital of Slovakia , also because of healthy environment summer resort Slnen jazer ( Sunny Lakes ) . The name comes from Slavic appellative seno hay ( inhabitants dealt with cattle trade , see also Senica , Senn , Vek Krt District or Senn , Michalovce Strne ( Slovakia ) Strne ( ) is village located in Trebiov District Koice Region in Slovakia - some 353 km east of Bratislava , countrys capital . Formerly part of Hungary , there are more ethnic Hungarians located in Strne than Slovakians despite it being Slovakian territory - 596 Hungarians to 51 Slovakians - being part of many Hungarian settlements in Slovakia on border . Its Hungarian name rs comes from Hungarian name rs although historical documents show name to be rs Located in village there is reformed church . First recorded around 1700 as wooden only Slovak club that has won match at group stage ."
governing body,is,Slovak Rugby Union,The governing body is Slovak Rugby Union .
Rugby union,was introduced to,Czechoslovakia,"Rugby union was introduced to Czechoslovakia ( as it was then ) by CzechMoravian writer Ondej Sekora , when he returned from living in France in 1926 , with rugby ball set of rules ."
Ondej Sekora,is,CzechMoravian writer,"Rugby union was introduced to Czechoslovakia ( as it was then ) by CzechMoravian writer Ondej Sekora , when he returned from living in France in 1926 , with rugby ball set of rules ."
Slovakia,was under aegis of,Czechoslovak rugby bodies,"Although Slovakia was under aegis of Czechoslovak rugby bodies , centre Canal ."
Slovakia,features,natural landscapes,"Slovakia features natural landscapes , mountains , caves , medieval castles towns , folk architecture , spas ski resorts ."
Slovakia,had,"more than 5,4 million tourists","More than 5,4 million tourists visited Slovakia in 2017 , most attractive destinations are capital of Bratislava High Tatras ."
Most visitors,come from,Czech Republic,"Most visitors come from Czech Republic ( about 26 ) , Poland ( 15 ) Germany ( 11 ) ."
Slovakia,contains,many castles,"Slovakia contains many castles , most of which are in ruins ."
Bojnice Castle,is,often used as filming location,"The best known castles include Bojnice Castle ( often used as filming location ) , Spi Castle , ( on UNESCO list ) , Orava Castle , is referred to by some modern historians as Royal Hungary ."
Slovakia,contains,many castles,"Slovakia contains many castles , most of which are in ruins ."
Industry,accounted for,35.6 of GDP,"In 2010 , industry ( including construction ) accounted for 35.6 of GDP , compared with 49 in 1990 ."
Industry,accounted for,49 of GDP,"In 2010 , industry ( including construction ) accounted for 35.6 of GDP , compared with 49 in 1990 ."
Construction,included in,industry,"In 2010 , industry ( including construction ) accounted for 35.6 of GDP , compared with 49 in 1990 ."
Automotive sector,is among fastest growing sectors in,Slovakia,"The automotive sector is among fastest growing sectors in Slovakia due to recent large investments of Volkswagen ( Bratislava ) , Peugeot ( Trnava ) , Kia Motors ( ilina ) since 2018 also Jaguar Land Rover in Nitra ."
Volkswagen ( Bratislava),is a company in,Slovakia,"The automotive sector is among fastest growing sectors in Slovakia due to recent large investments of Volkswagen ( Bratislava ) , Peugeot ( Trnava ) , Kia Motors ( ilina ) since 2018 also Jaguar Land Rover in Nitra ."
Peugeot ( Trnava),is a company in,Slovakia,"The automotive sector is among fastest growing sectors in Slovakia due to recent large investments of Volkswagen ( Bratislava ) , Peugeot ( Trnava ) , Kia Motors ( ilina ) since 2018 also Jaguar Land Rover in Nitra ."
Kia Motors ( ilina),is a company in,Slovakia,"The automotive sector is among fastest growing sectors in Slovakia due to recent large investments of Volkswagen ( Bratislava ) , Peugeot ( Trnava ) , Kia Motors ( ilina ) since 2018 also Jaguar Land Rover in Nitra ."
Jaguar Land Rover in Nitra,is a company in,Slovakia,"The automotive sector is among fastest growing sectors in Slovakia due to recent large investments of Volkswagen ( Bratislava ) , Peugeot ( Trnava ) , Kia Motors ( ilina ) since 2018 also Jaguar Land Rover in Nitra ."
Slovakia national cricket team,represents nation of,Slovakia,The Slovakia national cricket team is fledgling team which represents nation of Slovakia in International Cricket competitions .
Slovakia national cricket team,is not officially endorsed by,International Cricket Council,The Slovakia national cricket team is fledgling team which represents nation of Slovakia in International Cricket competitions . They are not officially endorsed by International Cricket Council are therefore not entitled to participate in ICC Official events .
Slovakia national cricket team,has application to,European Cricket Council,The Slovakia national cricket team is fledgling team which represents nation of Slovakia in International Cricket competitions . They are not officially endorsed by International Cricket Council are therefore not entitled to participate in ICC Official events .
Slovakia national cricket team,should see them granted,Affiliate Status,The Slovakia national cricket team is fledgling team which represents nation of Slovakia in International Cricket competitions . They are not officially endorsed by International Cricket Council are therefore not entitled to participate in ICC Official events .
Slovakia national cricket team,is represented by,Slovak Cricket Club,The Slovakia national cricket team is fledgling team which represents nation of Slovakia in International Cricket competitions . They are not officially endorsed by International Cricket Council are therefore not entitled to participate in ICC Official events .
Slovak Cricket Club,is located in,village Hjske,"There is currently only one active cricket club in Slovakia , Slovak Cricket Club , which is located in village Hjske , some 70 km east of capital Bratislava ."
Slovak Cricket Club,is a cricket club in,Slovakia,"There is currently only one active cricket club in Slovakia , Slovak Cricket Club , which is located in village Hjske , some 70 km east of capital Bratislava ."
Czechoslovakia,split into,Czech Republic and Slovakia,"Following break-up of Czechoslovakia in 1993 , successor states , Czech Republic Slovakia , continued to share 42 country code , until 28 February 1997 , with Czech Republic adopted 420 while Slovakia adopted 421 ."
Czech Republic,adopted,country code 420,"Following break-up of Czechoslovakia in 1993 , successor states , Czech Republic Slovakia , continued to share 42 country code , until 28 February 1997 , with Czech Republic adopted 420 while Slovakia adopted 421 ."
Slovakia,adopted,country code 421,"Following break-up of Czechoslovakia in 1993 , successor states , Czech Republic Slovakia , continued to share 42 country code , until 28 February 1997 , with Czech Republic adopted 420 while Slovakia adopted 421 ."
Slovakia,offers,"natural landscapes, mountains, caves, medieval castles, towns, folk architecture, spas, ski resorts","Tourism in Slovakia Tourism in Slovakia offers natural landscapes , mountains , caves , medieval castles towns , folk architecture , spas ski resorts ."
Czech Republic,most visitors to Slovakia,Czech Republic (about 26%),"Most visitors to Slovakia in who stayed in tourist accommodation establishments come from Some 40 also in terms of demands on material provision , technological construction procedures , coordination of all sub-suppliers in period of its construction finishing . The new NBS building may also be considered from aspect of its architectural urban solution as gain for central zone of capital , located in proximity to central bodies of Slovak Republic . Most visitors come from Czech Republic ( about 26 ) , Poland ( 15 ) Germany ( 11 ) ."
National Bank of Slovakia (building),is one of tallest buildings in,Bratislava,The building of National Bank of Slovakia is one of tallest buildings in Bratislava .
National Bank of Slovakia (building),is located in proximity to central bodies of Slovak Republic,capital,"The new NBS building may also be considered from aspect of its architectural urban solution as gain for central zone of capital , located in proximity to central bodies of Slovak Republic . National Bank of Slovakia ( building)"
National Bank of Slovakia (building),was built in,2002,On 23 May 2002 new building of National Bank of Slovakias headquarters was Slovakia .
Serbs of Slovakia,are mostly located in southern town of Komrno,Slovakia,"There is small number of Serbs in Slovakia , mostly located in southern town of Komrno , where they have been living since 17th century ."
Serbs of Slovakia,have been living in Komrno since 17th century,Slovakia,"There is small number of Serbs in Slovakia , mostly located in southern town of Komrno , where they have been living since 17th century ."
Habsburg Serbs,studied in Bratislava (Poun),Slovakia,"The number of Slovaks of Serb descent is hard to determine nevertheless they are recognized as official minority . The Association of Serbs in Slovakia claim that 2,784 Serbs , born outside Slovakia , currently live in Slovakia , while another 800 Slovaks are of Serb descent . According to 2011 census , there were 698 Serbian nationals Hungary fought alongside Turks against Austrians at Battle of Vienna of 1683 ."
Hungary,fought alongside Turks against Austrians at Battle of Vienna of 1683,Austrians,"According to 2011 census , there were 698 Serbian nationals Hungary fought alongside Turks against Austrians at Battle of Vienna of 1683 ."
Strne (Slovakia),is located in,Trebiov District Koice Region,"Strne ( Slovakia ) Strne ( ) is village located in Trebiov District Koice Region in Slovakia - some 353 km east of Bratislava , countrys capital ."
Strne (Slovakia),was formerly part of,Hungary,"Formerly part of Hungary , there are more ethnic Hungarians located in Strne than Slovakians despite it being Slovakian territory ZSCS around 30 private companies ."
Strne (Slovakia),has more ethnic Hungarians than Slovakians,despite being Slovakian territory,"Formerly part of Hungary , there are more ethnic Hungarians located in Strne than Slovakians despite it being Slovakian territory ZSCS around 30 private companies ."
Slovakia,is a member of,International Union of Railways (UIC),Slovakia is member of International Union of Railways ( UIC ) .
Slovakia,has UIC Country Code 56,UIC Country Code for Slovakia,The UIC Country Code for Slovakia is 56 .
Dalian in China,arrived in,Bratislava,"In 2017 trial container service from Dalian in China to SPaP port on River Danube in Bratislava arrived in Slovak capital on November 13 , after 17-day journey via Russia Ukraine ."
Dalian in China,arrived in,"Bratislava on November 13, 2017","In 2017 trial container service from Dalian in China to SPaP port on River Danube in Bratislava arrived in Slovak capital on November 13 , after 17-day journey via Russia Ukraine ."
41 containers,carrying goods worth more than US3m,electronics machine parts,"The 41 containers carrying goods worth more than US3m including electronics machine parts were transhipped between gauges at ManzhouliZabaykalsk crossing between China Russia at Dobr on UkraineSlovakia border , where freight facility has two Serbs of Slovakia ."
ManzhouliZabaykalsk crossing,is between China Russia,Dobr on UkraineSlovakia border,"The 41 containers carrying goods worth more than US3m including electronics machine parts were transhipped between gauges at ManzhouliZabaykalsk crossing between China Russia at Dobr on UkraineSlovakia border , where freight facility has two Serbs of Slovakia ."
Dobr on UkraineSlovakia border,has two Serbs of Slovakia,freight facility,"The 41 containers carrying goods worth more than US3m including electronics machine parts were transhipped between gauges at ManzhouliZabaykalsk crossing between China Russia at Dobr on UkraineSlovakia border , where freight facility has two Serbs of Slovakia ."
Komrno,is a southern town of Slovakia,where Serbs have been living since 17th century,"There is small number of Serbs in Slovakia , mostly located in southern town of Komrno , where they have been living since 17th century ."
President of Slovak Republic,head of state of,Slovakia,The President of Slovak Republic ( ) is head of state of Slovakia.
President of Slovak Republic,commander-in-chief of,Armed Forces,The President of Slovak Republic ( ) is head of state of Slovakia commander-in-chief of Armed Forces .
President of Slovak Republic,elected by people for,five years,The President of Slovak Republic ( ) is head of state of Slovakia commander-in-chief of Armed Forces .
President of Slovak Republic,can be elected for maximum of,two consecutive terms,The President of Slovak Republic ( ) is head of state of Slovakia commander-in-chief of Armed Forces .
President of Slovak Republic,exercises certain limited powers with absolute discretion,presidency,"The presidency is largely ceremonial office , president does exercise certain limited powers with absolute discretion ."
President of Slovak Republic,official residence is,Grassalkovich Palace in Bratislava,"The presidency is largely ceremonial office , president does exercise certain limited powers with absolute discretion ."
Grassalkovich Palace in Bratislava,official residence of,President of Slovak Republic,"The presidency is largely ceremonial office , president does exercise certain limited powers with absolute discretion ."
Slovakia,last member state of European Union without,mosque,Slovakia is last member state of European Union without mosque .
Slovakia,last member state of European Union without,mosque,Slovakia is last member state of European Union without mosque .
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Muslims,live in capital,Bratislava,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Slovakia,established by constitution,office,The office was established by constitution of Slovakia on 1 January 1993 when Slovakia permanently split from Czechoslovakia became independent .
Slovakia,split from,Czechoslovakia,The office was established by constitution of Slovakia on 1 January 1993 when Slovakia permanently split from Czechoslovakia became independent .
Slovakia,became independent,Czechoslovakia,The office was established by constitution of Slovakia on 1 January 1993 when Slovakia permanently split from Czechoslovakia became independent .
Bratislava,capital of Slovakia,Muslims live in capital,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Bratislava,capital of Slovakia,Muslims live in capital,"Most of Muslims live in capital Bratislava , smaller communities also exist in Koice Martin ."
Slovakia,last member state of European Union without mosque,European Union,Slovakia is last member state of European Union without mosque .
Slovakia,dispute about building of Islamic centre in capital,Bratislava,"In 2000 , dispute erupted about building of Islamic centre in Bratislava capitals mayor refused such attempts of Slovak Islamic Waqfs Foundation ."
Slovakia,agreed to admit Christian asylum seekers,2015,"In 2015 , amidst European migrant crisis , Slovakia agreed to admit 200 Christian asylum seekers , refused to accept Muslims under EU scheme to share migrants between member states ."
Slovakia,refused to accept Muslims under EU scheme,2015,"In 2015 , amidst European migrant crisis , Slovakia agreed to admit 200 Christian asylum seekers , refused to accept Muslims under EU scheme to share migrants between member states ."
Slovakia,explanation for decision by Slovak Ministry of Interior Affairs,absence of Muslim places Hussite Wars,Slovak Ministry of Interior Affairs explained this decision by absence of Muslim places Hussite Wars .
Bratislava,designated new capital of Hungary,1536,"Owing to Ottoman Empires expansion into Hungarian territory , Bratislava was designated new capital of Hungary in 1536 , ahead of old Hungarian capital of Buda falling in 1541 ."
Bratislava,designated new capital of Hungary,1536,"Owing to Ottoman Empires expansion into Hungarian territory , Bratislava was designated new capital of Hungary in 1536 , ahead of old Hungarian capital of Buda falling in 1541 ."
Upper Hungary,place of settlement for Magyar nobility fleeing Turks,modern Slovakia,"The territory comprising modern Slovakia , then known as Upper Hungary , became place of settlement for nearly two-thirds of Magyar nobility fleeing Turks far more linguistically culturally Hungarian than it was before ."
Upper Hungary,became,place of settlement for,"The territory comprising modern Slovakia, then known as Upper Hungary, became place of settlement for nearly two-thirds of Magyar nobility fleeing Turks far more linguistically culturally Hungarian than it was before."
Upper Hungary,became,part of,"It become part of Austrian Habsburg monarchy, marking beginning of new era. The territory comprising modern Slovakia, then known as Upper Hungary, became place of settlement for nearly two-thirds of Magyar nobility fleeing Turks far more linguistically culturally Hungarian than it was before."
Upper Hungary,became,part of,"It become part of Austrian Habsburg monarchy, marking beginning of new era. The territory comprising modern Slovakia, then known as Upper Hungary, became place of settlement for nearly two-thirds of Magyar nobility fleeing Turks far more linguistically culturally Hungarian than it was before."
Slovaks,studying under,Martin Luther,"Partly thanks to old Hussite families, Slovaks studying under Martin Luther, region then experienced Postal codes in Slovakia Postal codes in Slovakia use old system of Czechoslovakia."
Slovaks,studying under,Martin Luther,"Partly thanks to old Hussite families, Slovaks studying under Martin Luther, region then experienced Postal codes in Slovakia Postal codes in Slovakia use old system of Czechoslovakia."
Czechoslovakia,use,old system,"Partly thanks to old Hussite families, Slovaks studying under Martin Luther, region then experienced Postal codes in Slovakia Postal codes in Slovakia use old system of Czechoslovakia."
PS numbers,introduced in,1973,"The system of PS numbers ( PS , stands for - postal routing number ) was introduced in former Czechoslovakia in 1973 has remained unchanged."
PS numbers,introduced in,1973,"The system of PS numbers ( PS , stands for - postal routing number ) was introduced in former Czechoslovakia in 1973 has remained unchanged."
City University of Seattle,is located in,Slovak capital Bratislava,"In 18 August 2010 , Bratislava has been City University of Seattle in Slovakia ( Vysok kola manamentu )"
City University of Seattle,also known as,Vysok kola manamentu ( VM ),"In 18 August 2010 , Bratislava has been City University of Seattle in Slovakia ( Vysok kola manamentu )"
City University of Seattle,began its degree programs in,former Czechoslovakia,"In 1991 , City University of Seattle began its degree programs in former Czechoslovakia ."
City University of Seattle,was founded on,"December 1 , 1999","VM was founded on December 1 , 1999 as first private college in Slovakia ."
City University of Seattle,added of Seattle to its official title as,part of rebranding effort,"In 2007 , City University added of Seattle to its official title as part of rebranding effort ."
City University of Seattle,is a private college in,Slovakia,"VM was founded on December 1 , 1999 as first private college in Slovakia ."
City University of Seattle,is a private college in,Slovakia,"VM was founded on December 1 , 1999 as first private college in Slovakia ."
City University of Seattle,began degree programs in,former Czechoslovakia,"In 1991 , City University of Seattle began its degree programs in former Czechoslovakia ."
VM,was founded on,"December 1, 1999","VM was founded on December 1, 1999 as first private college in Slovakia ."
City University of Seattle,added to its official title,of Seattle,"In 2007 , City University added of Seattle to its official title as part of rebranding effort ."
VM,serves as,official European headquarters of City University of Seattle,VM in Bratislava serves as official European headquarters of City University of Seattle .
VM,located in,Slovak capital Bratislava,VM in Bratislava serves as official European headquarters of City University of Seattle .
VM,is located in,cities of Trenn Poprad,VM in Bratislava serves as official European headquarters of City University of Seattle .
VM,was founded as,first private college in Slovakia,"VM was founded on December 1, 1999 as first private college in Slovakia ."
City University,added to official title,Seattle,"In 2007 , City University added of Seattle to its official title as part of rebranding effort ."
City University of Seattle,served as official European headquarters,VM in Bratislava,VM offers following degrees VM in Bratislava serves as official European headquarters of City University of Seattle .
City University of Seattle,located in present-day Slovakia,Koice,"were located in present-day Slovakia Koice , Bratislava , Bardejov , Preov , Trnava Levoa ."
Kingdom of Hungary,had more than half of royal towns free mining towns,Slovakia,"At end of Middle Ages , about two hundred other settlements had urban character from functional point of view . The first written mention prior 1500 is available for 2.476 settlements . The mining towns in Slovakia significantly contributed to economy of Kingdom of Hungary ."
Kremnica,produced 400 kg of gold per year,Around middle of 14th century,"Around middle of 14th century , Kremnica alone produced 400 kg of gold per year ."
Bansk tiavnica river valleys,located in Inner Western Carpathians,Slovakia,"The oldest Hungarian graves in Slovakia are dated to end of 9th beginning of 10th century ( Medzibordoie region , Eastern Slovakia ) . These findings document only relatively short stay , without direct continuation in settlement ."
Slovakia,GDP growth in 2014,2.4,"In 2014 , GDP growth was 2.4 in 2015 2016 Slovakias economy grew 3.6 3.3 respectively ."
Slovakia,GDP growth in 2015,3.6,"In 2014 , GDP growth was 2.4 in 2015 2016 Slovakias economy grew 3.6 3.3 respectively ."
Slovakia,GDP growth in 2016,3.3,"In 2014 , GDP growth was 2.4 in 2015 2016 Slovakias economy grew 3.6 3.3 respectively ."
National Bank of Slovakia,predicts GDP raise in 2018,4,"For year 2018 , National Bank of Slovakia predicts raise of GDP by 4 ."
Slovakia,foreign direct investment increase,dramatically,Foreign direct investment ( FDI ) in Slovakia has increased dramatically .
Slovakia,skilled labor cost,cheap,"Cheap skilled labor , 19 flat tax rate"
Nazi Party,election campaign in,2005,"Nazi Party , Fremdarbeiter ( foreign workers ) , in his election campaign in 2005 ."
PDS,merged into,Left Party,The PDS merged into Left Party in 2007 .
Syriza,became largest party since,January 2015 elections,"Syriza , which became largest party since January 2015 elections , has been described as left-wing populist party after their platform incorporated most demands of popular movements in Greece during government-debt crisis ."
Syriza,incorporated demands of popular movements,platform,"Syriza , which became largest party since January 2015 elections , has been described as left-wing populist party after their platform incorporated most demands of popular movements in Greece during government-debt crisis ."
Syriza,populist traits in platform,rhetoric,Populist traits in Syrizas platform include growing importance of People in their rhetoric usthe people against themthe establishment antagonism in campaigning .
Syriza,populist traits in platform,campaigning,Populist traits in Syrizas platform include growing importance of People in their rhetoric usthe people against themthe establishment antagonism in campaigning .
Syriza,populist traits in platform,immigration,Populist traits in Syrizas platform include growing importance of People in their rhetoric usthe people against themthe establishment antagonism in campaigning .
Syriza,populist traits in platform,LGBT rights,Populist traits in Syrizas platform include growing importance of People in their rhetoric usthe people against themthe establishment antagonism in campaigning .
